列車番号,種別,行先,八王子発,片倉発,八王子みなみ野発,相原発,橋本発,相模原発,矢部発,淵野辺発,古淵発,町田発,成瀬発,長津田発,十日市場発,中山発,鴨居発,小机発,新横浜発,菊名発,大口発,東神奈川発,番線,横浜着
406K,普通,東神奈川,-,-,-,-,0434,0438,0440,0442,0445,0448,0451,0454,0457,0500,0503,0506,0509,0511,0514,0517,3,-
412K,普通,東神奈川,0453,0456,0458,0501,0505,0508,0510,0512,0515,0519,0522,0525,0528,0531,0534,0538,0540,0542,0546,0549,3,-
500K,普通,桜木町,0514,0517,0519,0522,0526,0529,0531,0533,0536,0540,0543,0546,0548,0551,0554,0558,0600,0603,0606,0610,2,0613
510K,普通,東神奈川,-,-,-,-,0536,0539,0542,0544,0547,0550,0553,0556,0559,0602,0605,0608,0611,0613,0616,0619,2,-
532K,普通,東神奈川,0534,0537,0539,0542,0546,0549,0551,0553,0556,0600,0603,0605,0608,0611,0614,0618,0620,0622,0626,0629,3,-
516K,普通,桜木町,-,-,-,-,0555,0558,0600,0602,0605,0609,0612,0615,0617,0620,0623,0627,0630,0632,0635,0639,2,0642
546K,普通,東神奈川,0554,0557,0559,0602,0606,0609,0611,0613,0616,0620,0623,0626,0629,0632,0635,0638,0641,0643,0646,0649,2,-
648K,普通,桜木町,-,-,-,-,0614,0617,0619,0621,0624,0628,0631,0634,0637,0640,0643,0647,0650,0652,0656,0700,2,0704
618K,普通,東神奈川,0607,0610,0612,0615,0619,0623,0625,0627,0630,0634,0637,0640,0642,0645,0648,0652,0655,0657,0700,0703,2,-
640K,普通,東神奈川,-,-,-,-,-,-,-,-,-,0640,0643,0646,0649,0652,0655,0659,0701,0703,0707,0710,3,-
624K,普通,東神奈川,0618,0621,0623,0627,0630,0633,0636,0638,0641,0645,0648,0651,0653,0656,0659,0703,0705,0708,0711,0714,2,-
636K,普通,東神奈川,-,-,-,-,0635,0638,0640,0642,0645,0650,0653,0656,0659,0702,0706,0709,0712,0715,0718,0721,2,-
650K,普通,東神奈川,0627,0630,0633,0636,0641,0644,0646,0648,0651,0656,0659,0702,0705,0708,0712,0715,0718,0721,0724,0727,3,-
606K,普通,東神奈川,0635,0638,0641,0644,0647,0650,0653,0655,0658,0702,0705,0708,0711,0714,0717,0721,0724,0726,0729,0733,2,-
614K,普通,桜木町,-,-,-,-,0651,0654,0657,0659,0702,0706,0709,0712,0715,0719,0722,0726,0729,0732,0735,0740,1,0743
620K,普通,東神奈川,0643,0646,0649,0652,0655,0658,0701,0703,0706,0710,0713,0716,0719,0723,0726,0730,0733,0735,0738,0742,3,-
